,NTNF 0.5y,NTNF 1y,NTNF 1.5y,NTNF 2y,NTNF 3y,NTNF 4y,NTNF 5y,NTNF 6y,NTNF 7y,NTNF 8y
2019-12-09 00:00:00,419.4118660607605,460.47344449648716,501.04833560727064,539.6394979847317,588.1937052302972,598.4983168397065,635.2065555440437,685.4506034573926,705.0587669007828,775.4085061966381
2019-12-10 00:00:00,419.4920701259968,460.56943835298443,501.18726432910006,539.7307135424322,588.1581661812727,598.326620474642,634.3795901396799,685.3088085516666,704.787715158211,775.1069805174308
2019-12-11 00:00:00,419.5697412967523,460.66401571509425,501.206674164121,539.7427249570936,588.1170713661443,598.3479692816393,635.6891116825873,685.8754554398245,705.7861773597707,776.2164497480959
2019-12-12 00:00:00,419.68880474565816,460.9890869535028,501.6852499849331,540.1144717707754,588.1241459429929,598.6084925936966,636.3678229087647,686.6949890929131,706.3886133998593,776.8724084309163
2019-12-13 00:00:00,419.75399771174614,461.0686644109037,501.9471758216261,540.4945830740669,588.6808307542152,598.7350871317681,635.7176659798753,686.1720641421412,705.4119772751008,775.7863091509826
2019-12-16 00:00:00,419.8259848257636,461.1406918933606,501.7098745612429,539.9209263683545,587.2516517625675,596.7860958116398,634.8833916458218,682.7768394295473,702.020397519742,772.0590822059802
2019-12-17 00:00:00,419.8635262749083,460.9840450296577,501.08395352993267,538.7243374672922,584.7926597112988,593.778776990927,631.2918170845048,679.1257988318132,698.3810830040601,768.0598236101029
2019-12-18 00:00:00,419.9384063600579,461.1108610100655,501.4922740253511,539.3984153234919,585.9817019562639,595.0500987547149,628.4927339333195,680.2942391737593,698.7903671886968,768.4882396818251
2019-12-19 00:00:00,419.99109861814463,461.0741077935413,501.10434307112075,538.5398556983907,583.9177218961601,591.9403267537507,628.7036037480183,675.1643312382574,693.3166608009005,762.4629783146887
2019-12-20 00:00:00,420.0756184821374,461.22797675550646,501.43170190495505,538.9993568900095,585.4034102295524,593.7212714251632,626.3174498343581,677.560419627167,696.1075467797397,765.5412697607081
2019-12-23 00:00:00,420.1381911827882,461.3217562943488,501.64900877342393,539.481028207709,586.3265405245909,595.2152784156297,629.351628736516,679.8739986181405,699.3980488975401,769.1850352497515
2019-12-24 00:00:00,420.30432539704674,461.47133597479046,501.8332981356229,539.6998563808341,584.5506766121769,595.0987684467146,629.4684658473886,680.0395515712926,699.4858533077478,769.2793417102707
2019-12-26 00:00:00,420.3043251544946,461.61336125268883,502.10259376900626,540.1380139747876,587.5144508415314,596.7772379566196,631.6163330741028,683.1509050085449,703.2731018331162,773.4605491904689
2019-12-27 00:00:00,420.3792535417371,461.7270849317557,502.2369304956901,540.1817470960839,587.8011286996947,597.2907156705838,632.1388513259558,683.709409736084,703.6472454239374,773.8665377630373
2019-12-30 00:00:00,420.44437167485637,461.83339914525993,502.5938820611373,540.8204381240981,588.840224177512,598.8191552093051,633.0872184951942,686.6737510691989,707.7386871864638,778.3947624780571
2019-12-31 00:00:00,420.5182580998811,461.9813639298264,502.5322667611101,540.9459584876449,588.8183118980546,598.9980320761003,633.2379440239821,681.1643262859874,707.8409011027053,778.6651736323614
2020-01-02 00:00:00,420.6057817615411,462.11436797151345,502.98183745242756,541.2311445911271,589.3489644897637,599.7374344511654,635.2406486123862,689.0493588752063,710.087801514206,780.975681360935
